,Name,Link,Location,Number,Email,Website,Description
19,african-solar-designs,https://www.4yfn.com/exhibitor/african-solar-designs/,Hall 4YFN Montjuic Hall M8 Stand 54,,,,
20,afterbanks,https://www.4yfn.com/exhibitor/afterbanks/,Hall 4YFN Montjuic Hall M8 Stand T2,+34 644501035,david.lozano@afterbanks.com,https://www.afterbanks.com/,"We are a company in which we develop a new product through an API, faster and more secure than the current payment gateways, using the infrastructure of each bank, with its corresponding security to order a transfer from a customer's bank account to that of a trade instantly. This payment initiation product will therefore allow the development of alternative payment gateways to current ones, and will even allow instantaneous payments to be made throughout Europe with lower commissions. In addition, we would like to stand out that, our product, saves a very significant amount of money to our customers."
21,agencia-de-desenvolupament-del-bergueda,https://www.4yfn.com/exhibitor/agencia-de-desenvolupament-del-bergueda/,Hall 4YFN Montjuic Hall M8 Stand 72,,,,
22,agora-io,https://www.4yfn.com/exhibitor/agora-io/,Hall 4YFN Montjuic Hall M8 Stand 58,+1 4086947656,kayla@agora.io,https://www.agora.io/en/,"Agora.io offers a suite of APIs and other building blocks that allow developers to embed real-time voice, video, and interactive broadcasting functionality to any web or mobile app. With the Agora platform, developers can leverage embedded communications to draw large audiences and increase user engagement and stickiness with real-time, low latency video."
23,agrocenta,https://www.4yfn.com/exhibitor/agrocenta/,Hall 4YFN Montjuic Hall M8 Stand 54,,,https://agrocenta.com/,"AgroCenta is a digital food distribution and supply chain platform creating shared for businesses and smallholder farmers. AgroCenta connects smallholder farmers in the cereals and staple food value chain directly to a structured market to trade fairly and improve their financial livelihoods. AgroCenta's two key solutions AgroTrade (https://agromart.co) enables effective trade between small, medium, large organisations and smallholder farmers and AgroPay (https://agropay.co) enables financial inclusion for smallholder farmers including digital payments via mobile money, crop insurance, pension and micro loans."
24,agw-simulations,https://www.4yfn.com/exhibitor/agw-simulations/,Hall 4YFN Montjuic Hall M8 Stand K2,,,,
25,ahqlab-inc,https://www.4yfn.com/exhibitor/ahqlab-inc/,Hall 4YFN Montjuic Hall M8 Stand 16,+82 1049161596,xodus676@gmail.com,http://www.myhodoo.com/,"AHQLab Inc. was founded in July, 2015 and we have done several R&D works which were applied in various industrial fields. We have 8 members now and are specialized individually for signal processing, control, telecommunication and applicaton programming. Based on this technical backgroud, we are preparing for the project HODOO that is focused on AI based pet healthcare service."
26,aione-lifestyle-studios-inc,https://www.4yfn.com/exhibitor/aione-lifestyle-studios-inc/,Hall 4YFN Montjuic Hall M8 Stand 7,,,,
27,airbus,https://www.4yfn.com/exhibitor/airbus/,Hall 4YFN Montjuic Hall M8 Stand P4,+33 (064) 897-4142,dara.francis-elie@airbus.com,https://airbus-bizlab.com/,"Airbus BizLab is a global aerospace accelerator, where startups and Airbus intrapreneurs speed up the transformation of innovative ideas into valuable businesses. The global network has recently expanded to include a fourth site in Madrid (Spain), joining the Toulouse (France), Hamburg (Germany) and Bangalore (India) campuses."
28,airhop-communications,https://www.4yfn.com/exhibitor/airhop-communications/,Hall 4YFN Montjuic Hall M8 Stand M4,+1 8583493460,jthome@airhopcomm.com,http://www.airhopcomm.com/,"AirHop Communications is a network intelligence software company delivering Radio Access Network (RAN) automation and optimization solutions backed by a comprehensive portfolio of patents, having a flexible virtualized platform, scalable software, and multi-vendor support. AirHop’s flagship eSON real-time Self-Organizing Network (SON) solution delivers coordinated network performance and end-user experience optimization for heterogeneous 4G & 5G systems.  eSON is a fully virtualized, massively scalable, robust and commercially hardened platform for traditional network architectures and NFV/C-RAN architectures. AirHop’s eSON360 Analytics solution is a carrier-class fast data platform that delivers RAN analytics and machine learning for performance insight across Heterogeneous Networks (HetNets)."
29,airning,https://www.4yfn.com/exhibitor/airning/,Hall 4YFN Montjuic Hall M8 Stand R4,+34 931220679,aboar@airning.com,https://airning.com/,"When you travel you expect everything to be perfect, but flight delays and cancellations may seriously affect your plans."
30,airrays,https://www.4yfn.com/exhibitor/airrays/,Hall 4YFN Montjuic Hall M8 Stand M4,,,http://www.airrays.com/,"Airrays is the leading massive MIMO radio company addressing the 4G and upcoming 5G mobile network infrastructure market. Airrays’ large scale active antennas provide an energy-efficient and cost-effective way to address the growing demand for wireless capacity for the Gigabit Society. Founded in 2013, Airrays today employs 50 people from over 10 different countries and is located in Dresden, Germany."
31,aivero-as,https://www.4yfn.com/exhibitor/aivero-as/,Hall 4YFN Montjuic Hall M8 Stand J2,,,http://www.aivero.com/,"Aivero is a software company. Our core technology, the 3DQ compression algorithm compresses volumetric video down to 95% of the original data rate, is the foundation of a future comprehensive product range.  The 3DQ opens up for a new ways of executing and training deep neural networks in the cloud and enables real-time streaming of depth video with low latency over any IP network. We target mainly Manufacturing and Logistics industries. We focus particularly on vision applications in need of high perception fidelity in order to make robots more autonomous."
32,ajuntament-de-figueres,https://www.4yfn.com/exhibitor/ajuntament-de-figueres/,Hall 4YFN Montjuic Hall M8 Stand 72,,,,
33,ajuntament-de-martorell,https://www.4yfn.com/exhibitor/ajuntament-de-martorell/,Hall 4YFN Montjuic Hall M8 Stand 72,,,,
34,ajuntament-del-vendrell,https://www.4yfn.com/exhibitor/ajuntament-del-vendrell/,Hall 4YFN Montjuic Hall M8 Stand 72,,,,
35,alda,https://www.4yfn.com/exhibitor/alda/,Hall 4YFN Montjuic Hall M8 Stand 80,,,,
36,alefredo-books,https://www.4yfn.com/exhibitor/alefredo-books/,Hall 4YFN Montjuic Hall M8 Stand N3,+962 797080114,a.fareed@alefredobooks.com,http://alefredobooks.com/,Alefredo Books is a used Books Market for IG SAT IB books in Middle East.
37,allblanc,https://www.4yfn.com/exhibitor/allblanc/,Hall 4YFN Montjuic Hall M8 Stand 16,+82 7088850717,all_blanc@naver.com,https://kenshin0509.wixsite.com/allblancx,"ALLBLANC is 'Fit-tech' company which has which has strong 'Media power'. Our social media channels such as Youtube, Facebook, Instagram are generating tremendous traffics. The traffics enable us to get customers for our product and service effectively."
38,allergeneat,https://www.4yfn.com/exhibitor/allergeneat/,Hall 4YFN Montjuic Hall M8 Stand R4,+34 689014380,quim.sanchez@allergeneat.com,http://www.allergeneat.com/,"Allergeneat is an app for allergic and food intolerance people who must care about what they eat. Our app can read labels at grocery shopping and give to the users just only the information that they need, but without reading that labels. We give more security to our users and let them save 80% of his time at grocery shopping. Our customers are brands that want to improve their sells strategy."
39,altair,https://www.4yfn.com/exhibitor/altair/,Hall 4YFN Montjuic Hall M8 Stand 9,+1 2486142400,charline.hunt@altair.com,http://altairsmartworks.com/,"Altair transforms design and decision making by applying simulation, machine learning and optimization throughout product lifecycles. Our broad portfolio of simulation technology and patented units-based software licensing model enable Simulation-Driven Innovation™ for our customers. With more than 2,000 employees, Altair is headquartered in Troy, Michigan, USA and operates 82 offices throughout 25 countries. Altair serves more than 5,000 customers across broad industry segments. To learn more, please visit www.altair.com."
40,10xmotion,https://www.4yfn.com/exhibitor/10xmotion/,Hall 4YFN Montjuic Hall M8 Stand P4,(076) 630-6047,thomas.lloyd@10xbeta.com,http://10xmotion.com/,"10XMotion is building a company to design and manufacture autonomous and electric modules for assisted mobility in a multitude of civilian settings, our first vertical and go to market strategy focuses on the airline industry."
41,3dlook,https://www.4yfn.com/exhibitor/3dlook/,Hall 4YFN Montjuic Hall M8 Stand 20,,,https://3dlook.me/,"3DLOOK is a pioneer of mobile body scanning technology which removes the barriers to online shopping: low confidence, returns, and lack of body data. Our B2B solutions help online brands and retailers create a better online shopping experience for their customers, solve fit and sizing problems, increase conversion rates, and lower return rates. Our patent pending and proprietary technology combine computer vision, neural networks, and complex 3D statistical modeling to process and measure the human body from just two photos taken on any smartphone in any setting."
42,4yfn-awards,https://www.4yfn.com/exhibitor/4yfn-awards/,Hall 4YFN Montjuic Hall M8 Stand 20,,,,
43,4yfn-community-club,https://www.4yfn.com/exhibitor/4yfn-community-club/,Hall 4YFN Montjuic Hall M8 Stand N1,,,https://www.4yfn.com/community-club/,4YFN Community Club is the new initiative of 4YFN for tech communities to plug in into the network of the startup ecosystem and to unite around a common goal: to develop entrepreneurship and drive innovation.
44,abitari,https://www.4yfn.com/exhibitor/abitari/,Hall 4YFN Montjuic Hall M8 Stand R4,,,http://www.abitari.com/,"Abitari automates hotel operations to improve guest experience. Our products are focused on fast check-in process, staff operations and guest relationships. We provide a set of Apps fully integrated between them and also with your PMS. We are currently working with some of the main hotel chains in Spain."
45,able-human-motion,https://www.4yfn.com/exhibitor/able-human-motion/,Hall 4YFN Montjuic Hall M8 Stand O2,+34 650646127,acarnicero@ablehumanmotion.com,http://www.ablehumanmotion.com/,"Spinal cord injury is a catastrophic event that thrusts 5 million people worldwide into a life challenged by disability. These people could walk again if they had a robotic exoskeleton. However, current devices are expensive (100 k€ approx.), heavy and require supervision."
46,accelleran,https://www.4yfn.com/exhibitor/accelleran/,Hall 4YFN Montjuic Hall M8 Stand M4,+32 32021956,,http://www.accelleran.com/,"Accelleran provides Mobile RAN/vRAN software and LTE Small Cell product solutions addressing the real-world challenges of increasing data volumes and 5G applications, calling for hyperdense networks. Accelleran’s unique software architecture is genuinely independent from any hardware platform. Operators can leverage one software solution for integrated small cells and for disaggregated and virtualised RAN networks with slicing and edge capabilities. With a global Cellular Industry's leading design team, Accelleran is the technology choice for carrier grade, reliable, performant Small Cells and Radio Access Network software solutions for Fixed Wireless Access, Public Mobile, Private Network, Neutral Host or IOT/Vertical solution providers."
47,accesslab-it-services,https://www.4yfn.com/exhibitor/accesslab-it-services/,Hall 4YFN Montjuic Hall M8 Stand K2,+30 2106439899,konstantinos.laliotis@yahoo.gr,https://accesslab.gr/,In AccessLab we are offering mobility services and mapping solutions for disability. We are also developing a wheelchair navigator (https://webgis.accesslab.gr/) and we are searching for IoT solutions by testing the use of sensors in order to control parking violation on ramps and sidewalks.
48,acero-tecnologica-sl,https://www.4yfn.com/exhibitor/acero-tecnologica-sl/,Hall 4YFN Montjuic Hall M8 Stand T3,+34 918615626,nicola@acerodocs.com,http://www.acerodocs.com/,"AceroDocs is the first IRM on the market that cares for easy use. With a simple click you can quickly protect a file and manage its access, in addition your subscription payment is economical and very versatile."
49,acqustic,https://www.4yfn.com/exhibitor/acqustic/,Hall 4YFN Montjuic Hall M8 Stand B2,+34 669752653,esteve.lombarte@acqustic.com,http://acqustic.com/,"Acqustic is a mobile platform that allows musicians to apply to hundreds of concerts per month, interviews in radios, upload their music to Spotify and Apple Music and generate their own invoices. All musician's career tools in one platform"
50,acromove-inc,https://www.4yfn.com/exhibitor/acromove-inc/,Hall 4YFN Montjuic Hall M8 Stand K2,+30 6932834153,evan@acromove.com,http://acromove.com/,"In 4YFN On-Premise Edge server IaaS business model will be the norm. Amazon with Snowball Edge/Outpost and Microsoft with Databox Edge are starting the game, hundreds of other public clouds are in the need to enter the On-Premise Edge IaaS business model. Acromove Inc. is a 2017 venture baked startup, manufactures the world’s best portable/shippable, High Security, GSM/Iridium/WiFi Remote Managed Servers for off-line Mass Data Migration and the IaaS Edge having already clients like IBM Cloud and Tata Communications is ready to take off. Our upcoming ServerPack™ EDGE with our unique design/patented technology will be the Industry’s platform of choice."
51,adamo-robot,https://www.4yfn.com/exhibitor/adamo-robot/,Hall 4YFN Montjuic Hall M8 Stand 6,,sales@adamorobot.com,http://adamorobot.com/,"The ADAMO robotic treatment concept is based on a physiotherapy method widely used by physiotherapists that involves applying continuous pressure on MTP (myofascial trigger points). These points must be defined by a health professional (Physician or physiotherapist) and thus determine the existence of the pathology that can be treated with ADAMO. The treatments are personalized thanks to the data collected by the physiotherapist, which is then applied to Adamo Robot in scheduled sessions."
52,adan-medical-innovation,https://www.4yfn.com/exhibitor/adan-medical-innovation/,Hall 4YFN Montjuic Hall M8 Stand J3,+34 656602943,xguillem@adanmi.com,http://www.adanmi.com/,"Adan Medical Innovation is a company focused on the development of digital solutions to improve the management of auto-injectors. Our first set of products are in the anaphylaxis space, a severe allergic reaction that compromises life within minutes."
53,adipsys,https://www.4yfn.com/exhibitor/adipsys/,Hall 4YFN Montjuic Hall M8 Stand N4,+33 682574770,sales@adipsys.com,https://www.adipsys.com/,"Adipsys is a software editor of Wi-Fi cloud management solutions designed for Integrators and Operators, which applies to many areas such as Smart cities Retail , Events, Hospitality, Education and corporate applications."
54,adsumnet,https://www.4yfn.com/exhibitor/adsumnet/,Hall 4YFN Montjuic Hall M8 Stand I2,+44 2081338200,info@adsumnet.com,http://www.adsumnet.com/,"Featuring ""LivePark"" the industry least intrusive, cost-effective and high-precision Smart-Parking Sensor System."
55,adzuki,https://www.4yfn.com/exhibitor/adzuki/,Hall 4YFN Montjuic Hall M8 Stand E2,+45 60666660,claus@adzukimobile.com,http://www.adzuki.co/,The Social Media Wardrobe by Adzuki
56,aeinnova,https://www.4yfn.com/exhibitor/aeinnova/,Hall 4YFN Montjuic Hall M8 Stand L4,,raul.aragones@aeinnova.com,http://www.aeinnova.com/,"Large industries lose up to 60% of their energy consumption in the form of waste heat as a result of the transformation of primary materials. AEInnova technology is capable of converting this heat into electricity that can be used in two different ways: first, taking advantatge of the generated energy to reduce the global energy consumption and second, powering our wireless and batteryless sensorization systems that allow you to easily transform your traditional industry into an industry 4.0 without maintenance."
57,aetolls,https://www.4yfn.com/exhibitor/aetolls/,Hall 4YFN Montjuic Hall M8 Stand I2,+1 5124150760,sglagow@aetolls.ney,http://aetolls.com/,AETolls holds several patents in the U.S and 14 other countries for direct carrier billing (DCB) in the tolling and toll road payment processing categories.. Their first product tapnpay is being implemented in North America with their DCB payment provider Verizon. Additional carriers will be implemented in the next few months.
58,africa-water-enterprises,https://www.4yfn.com/exhibitor/africa-water-enterprises/,Hall 4YFN Montjuic Hall M8 Stand 54,,,,
59,african-solar-designs,https://www.4yfn.com/exhibitor/african-solar-designs/,Hall 4YFN Montjuic Hall M8 Stand 54,,,,
60,afterbanks,https://www.4yfn.com/exhibitor/afterbanks/,Hall 4YFN Montjuic Hall M8 Stand T2,+34 644501035,david.lozano@afterbanks.com,https://www.afterbanks.com/,"We are a company in which we develop a new product through an API, faster and more secure than the current payment gateways, using the infrastructure of each bank, with its corresponding security to order a transfer from a customer's bank account to that of a trade instantly. This payment initiation product will therefore allow the development of alternative payment gateways to current ones, and will even allow instantaneous payments to be made throughout Europe with lower commissions. In addition, we would like to stand out that, our product, saves a very significant amount of money to our customers."
61,agencia-de-desenvolupament-del-bergueda,https://www.4yfn.com/exhibitor/agencia-de-desenvolupament-del-bergueda/,Hall 4YFN Montjuic Hall M8 Stand 72,,,,
62,agora-io,https://www.4yfn.com/exhibitor/agora-io/,Hall 4YFN Montjuic Hall M8 Stand 58,+1 4086947656,kayla@agora.io,https://www.agora.io/en/,"Agora.io offers a suite of APIs and other building blocks that allow developers to embed real-time voice, video, and interactive broadcasting functionality to any web or mobile app. With the Agora platform, developers can leverage embedded communications to draw large audiences and increase user engagement and stickiness with real-time, low latency video."
63,agrocenta,https://www.4yfn.com/exhibitor/agrocenta/,Hall 4YFN Montjuic Hall M8 Stand 54,,,https://agrocenta.com/,"AgroCenta is a digital food distribution and supply chain platform creating shared for businesses and smallholder farmers. AgroCenta connects smallholder farmers in the cereals and staple food value chain directly to a structured market to trade fairly and improve their financial livelihoods. AgroCenta's two key solutions AgroTrade (https://agromart.co) enables effective trade between small, medium, large organisations and smallholder farmers and AgroPay (https://agropay.co) enables financial inclusion for smallholder farmers including digital payments via mobile money, crop insurance, pension and micro loans."
64,agw-simulations,https://www.4yfn.com/exhibitor/agw-simulations/,Hall 4YFN Montjuic Hall M8 Stand K2,,,,
65,ahqlab-inc,https://www.4yfn.com/exhibitor/ahqlab-inc/,Hall 4YFN Montjuic Hall M8 Stand 16,+82 1049161596,xodus676@gmail.com,http://www.myhodoo.com/,"AHQLab Inc. was founded in July, 2015 and we have done several R&D works which were applied in various industrial fields. We have 8 members now and are specialized individually for signal processing, control, telecommunication and applicaton programming. Based on this technical backgroud, we are preparing for the project HODOO that is focused on AI based pet healthcare service."
66,aione-lifestyle-studios-inc,https://www.4yfn.com/exhibitor/aione-lifestyle-studios-inc/,Hall 4YFN Montjuic Hall M8 Stand 7,,,,
67,airbus,https://www.4yfn.com/exhibitor/airbus/,Hall 4YFN Montjuic Hall M8 Stand P4,+33 (064) 897-4142,dara.francis-elie@airbus.com,https://airbus-bizlab.com/,"Airbus BizLab is a global aerospace accelerator, where startups and Airbus intrapreneurs speed up the transformation of innovative ideas into valuable businesses. The global network has recently expanded to include a fourth site in Madrid (Spain), joining the Toulouse (France), Hamburg (Germany) and Bangalore (India) campuses."
68,airhop-communications,https://www.4yfn.com/exhibitor/airhop-communications/,Hall 4YFN Montjuic Hall M8 Stand M4,+1 8583493460,jthome@airhopcomm.com,http://www.airhopcomm.com/,"AirHop Communications is a network intelligence software company delivering Radio Access Network (RAN) automation and optimization solutions backed by a comprehensive portfolio of patents, having a flexible virtualized platform, scalable software, and multi-vendor support. AirHop’s flagship eSON real-time Self-Organizing Network (SON) solution delivers coordinated network performance and end-user experience optimization for heterogeneous 4G & 5G systems.  eSON is a fully virtualized, massively scalable, robust and commercially hardened platform for traditional network architectures and NFV/C-RAN architectures. AirHop’s eSON360 Analytics solution is a carrier-class fast data platform that delivers RAN analytics and machine learning for performance insight across Heterogeneous Networks (HetNets)."
69,airning,https://www.4yfn.com/exhibitor/airning/,Hall 4YFN Montjuic Hall M8 Stand R4,+34 931220679,aboar@airning.com,https://airning.com/,"When you travel you expect everything to be perfect, but flight delays and cancellations may seriously affect your plans."
70,airrays,https://www.4yfn.com/exhibitor/airrays/,Hall 4YFN Montjuic Hall M8 Stand M4,,,http://www.airrays.com/,"Airrays is the leading massive MIMO radio company addressing the 4G and upcoming 5G mobile network infrastructure market. Airrays’ large scale active antennas provide an energy-efficient and cost-effective way to address the growing demand for wireless capacity for the Gigabit Society. Founded in 2013, Airrays today employs 50 people from over 10 different countries and is located in Dresden, Germany."
71,aivero-as,https://www.4yfn.com/exhibitor/aivero-as/,Hall 4YFN Montjuic Hall M8 Stand J2,,,http://www.aivero.com/,"Aivero is a software company. Our core technology, the 3DQ compression algorithm compresses volumetric video down to 95% of the original data rate, is the foundation of a future comprehensive product range.  The 3DQ opens up for a new ways of executing and training deep neural networks in the cloud and enables real-time streaming of depth video with low latency over any IP network. We target mainly Manufacturing and Logistics industries. We focus particularly on vision applications in need of high perception fidelity in order to make robots more autonomous."
72,ajuntament-de-figueres,https://www.4yfn.com/exhibitor/ajuntament-de-figueres/,Hall 4YFN Montjuic Hall M8 Stand 72,,,,
73,ajuntament-de-martorell,https://www.4yfn.com/exhibitor/ajuntament-de-martorell/,Hall 4YFN Montjuic Hall M8 Stand 72,,,,
74,ajuntament-del-vendrell,https://www.4yfn.com/exhibitor/ajuntament-del-vendrell/,Hall 4YFN Montjuic Hall M8 Stand 72,,,,
75,alda,https://www.4yfn.com/exhibitor/alda/,Hall 4YFN Montjuic Hall M8 Stand 80,,,,
76,alefredo-books,https://www.4yfn.com/exhibitor/alefredo-books/,Hall 4YFN Montjuic Hall M8 Stand N3,+962 797080114,a.fareed@alefredobooks.com,http://alefredobooks.com/,Alefredo Books is a used Books Market for IG SAT IB books in Middle East.
77,allblanc,https://www.4yfn.com/exhibitor/allblanc/,Hall 4YFN Montjuic Hall M8 Stand 16,+82 7088850717,all_blanc@naver.com,https://kenshin0509.wixsite.com/allblancx,"ALLBLANC is 'Fit-tech' company which has which has strong 'Media power'. Our social media channels such as Youtube, Facebook, Instagram are generating tremendous traffics. The traffics enable us to get customers for our product and service effectively."
78,allergeneat,https://www.4yfn.com/exhibitor/allergeneat/,Hall 4YFN Montjuic Hall M8 Stand R4,+34 689014380,quim.sanchez@allergeneat.com,http://www.allergeneat.com/,"Allergeneat is an app for allergic and food intolerance people who must care about what they eat. Our app can read labels at grocery shopping and give to the users just only the information that they need, but without reading that labels. We give more security to our users and let them save 80% of his time at grocery shopping. Our customers are brands that want to improve their sells strategy."
79,altair,https://www.4yfn.com/exhibitor/altair/,Hall 4YFN Montjuic Hall M8 Stand 9,+1 2486142400,charline.hunt@altair.com,http://altairsmartworks.com/,"Altair transforms design and decision making by applying simulation, machine learning and optimization throughout product lifecycles. Our broad portfolio of simulation technology and patented units-based software licensing model enable Simulation-Driven Innovation™ for our customers. With more than 2,000 employees, Altair is headquartered in Troy, Michigan, USA and operates 82 offices throughout 25 countries. Altair serves more than 5,000 customers across broad industry segments. To learn more, please visit www.altair.com."
80,alteria-automation,https://www.4yfn.com/exhibitor/alteria-automation/,Hall 4YFN Montjuic Hall M8 Stand K4,+34 606448719,malfonso@alteriaautomation.com,http://www.alteriaautomation.com/,"Alteria Automation is a design/engineering company that manufactures Industry 4.0 products for advanced predictive maintenance of production line machinery, energy generation and robotics:"
