,Name,Link,Location,Number,Email,Website,Description
11,abinsula,https://www.mwcbarcelona.com/exhibitor/abinsula/,Hall 8,,info@abinsula.com,http://www.abinsula.com,"Abinsula offers tailor made systems design and solution by the development and integration services in the Automotive, Precision Farming, e-Health and Web & Mobile domains. Its services cover the whole development cycle from idea and concept creation to mass production. The main focus is “ABILITY”, a framework of services, technologies and products for development of smart and consumer electronic products. The company was established in 2012 in Italy and has 4 operative offices. Abinsula has a team of 120+ engineers fully devoted to bringing up innovation in close cooperation with partners all around the world."
12,abitari,https://www.mwcbarcelona.com/exhibitor/abitari/,Hall M8,,,http://www.abitari.com,"Abitari automates hotel operations to improve guest experience. Our products are focused on fast check-in process, staff operations and guest relationships. We provide a set of Apps fully integrated between them and also with your PMS. We are currently working with some of the main hotel chains in Spain."
13,accanto,https://www.mwcbarcelona.com/exhibitor/accanto/,Hall 2 Stand 2B82MR,,martine.naughton@accantosystems.com,http://www.accantosystems.com,"Headquartered in Finland and operating globally, Accanto provides a software platform called Stratoss™ which auto-generates the processes required to manage the complete lifecycle of a service, enabling operators to launch and maintain services in an economically sustainable manner. Automating complex scenarios such as heal, scale, and upgrade provides a dramatic reduction in operational cost and complexity which supports the business case for NFV. www.accantosystems.com"
14,accedian,https://www.mwcbarcelona.com/exhibitor/accedian/,Hall 6 Stand 6D60,,alou@accedian.com,http://www.accedian.com,"Accedian delivers exceptional end-to-end network and application performance visibility, for control over the best possible user experience."
15,tappx,https://www.mwcbarcelona.com/exhibitor/tappx/,Hall 8,,,http://www.tappx.com,"Tappx is a leading global AdTech company specializing in advertising solutions for advanced digital platforms including mobile, digital TV and audio. Tappx’ proprietary technology empowers publishers to maximize ad revenues across mobile and OTT channels. Tappx offers a distinct point of difference – its proprietary and state-of-the-art technology has been exclusively engineered for mobile and OTT markets, thereby offering brand and agencies with increased trust and transparency. In 2018, Tappx was Spain’s 2nd fastest growing startup (according to TECH5 and The Next Web). The Tappx platform currently processes a staggering 400 billion ad requests per month worldwide."
16,10xmotion,https://www.mwcbarcelona.com/exhibitor/10xmotion/,Hall M8,,thomas.lloyd@10xbeta.com,,"10XMotion is building a company to design and manufacture autonomous and electric modules for assisted mobility in a multitude of civilian settings, our first vertical and go to market strategy focuses on the airline industry."
17,1nce,https://www.mwcbarcelona.com/exhibitor/1nce/,Hall 1 Stand 1E82,,,http://www.1nce.com,"1NCE is the first dedicated global Tier-1 IoT Carrier providing managed connectivity services for IoT solutions, such as Asset Tracking, Tank Monitoring, Vehicle Telematics, Smart Metering and Waste Management. 1NCE cooperates with leading operators in order to guarantee Tier-1 grade connectivity services across Europe, Asia and North America. 1NCE has a team of more than 50 employees in 6 countries across Europe and is headquartered in Cologne, Germany, where it was founded together with Deutsche Telekom AG in late 2017."
18,2hz,https://www.mwcbarcelona.com/exhibitor/2hz/,Hall 2 Stand 2A20MR,,,http://www.2hz.ai,"2Hz develops voice and audio applications and technologies to enhance the productivity and privacy of daily communications. AI-driven Krisp™ is the first and only application available for Windows and Mac that works seamlessly across all conferencing apps (Skype, WebEx, Zoom, Slack, etc.), headphones and microphones. Krisp provides background noise muting for both outbound and inbound conversations in challenging conditions – call centers, shared workspaces, coffee shops and others. Additionally, Krisp is available as an embedded app for mobile phones, smart speakers, automobiles, business conferencing systems and network servers to provide a consistent, high quality user experience across all devices and environments."
19,2sens,https://www.mwcbarcelona.com/exhibitor/2sens/,Hall 5 Stand 5E61,,moshe@2sens.co,http://www.2sens.co,True Mixed-Reality!
20,360os,https://www.mwcbarcelona.com/exhibitor/360os/,Hall 6 Stand 6M38,,lishuang-os@360os.com,,"Following Android specifications, 360OS integrates 360 Group advanced resources to provide customized mobile phone operation system for making more secured mobile devices. With advantages like quick upgrade, supporting worldwide devices, 360OS is one of best security operation system solution providers. Now, 360OS is focusing on customized IOT solution which provides enterprise customers with safe, low consumption and efficient IOT infrastructure platform and content service platform. 360os’s  IOT solution will be applied in abroad fields as education、transportation、medicine etc."
21,3dlook,https://www.mwcbarcelona.com/exhibitor/3dlook/,Hall M8,,,,"3DLOOK is a pioneer of mobile body scanning technology which removes the barriers to online shopping: low confidence, returns, and lack of body data. Our B2B solutions help online brands and retailers create a better online shopping experience for their customers, solve fit and sizing problems, increase conversion rates, and lower return rates. Our patent pending and proprietary technology combine computer vision, neural networks, and complex 3D statistical modeling to process and measure the human body from just two photos taken on any smartphone in any setting."
22,3starsnet,https://www.mwcbarcelona.com/exhibitor/3starsnet/,Hall 7 Stand 7G71,,pierre@3starsnet.com,http://www.3starsnet.com,3StarsNet is the biggest alternative VoIP operator in Belgium
23,51degrees,https://www.mwcbarcelona.com/exhibitor/51degrees/,Hall Upper Walkway Stand 7UP,,sales@51degrees.com,,"51Degrees is The Fastest and Most Accurate Device Intelligence provider. We provide the largest number of Device combinations (>1,200,000 and growing) of Hardware Model, OS and Browser. Access granular device analytics with over >222 device properties such as retail price, hardware vendor, screen size, crawler name and device age all indexed by IMEI, TAC, User-Agent or Native Apps."
24,7layers,https://www.mwcbarcelona.com/exhibitor/7layers/,Hall 7 Stand 7E31,,,http://www.7layers.com,"7layers supports technology enablers, manufacturers and service providers with wireless testing, engineering, certification and global type approval. Complementary services are technology consulting, specification development, benchmarking and validation of IoT services set-ups."
25,abbyy,https://www.mwcbarcelona.com/exhibitor/abbyy/,Hall 8,,,,"ABBYY is a global provider of content intelligence solutions and services. The company’s AI-based digital transformation solutions help organizations achieve the next wave of growth. ABBYY technologies are used and licensed by thousands of international enterprises and government organizations, as well as SMBs and more than 50 million individuals. ABBYY has offices in 11 countries and over 1,000 employees."
26,abinsula,https://www.mwcbarcelona.com/exhibitor/abinsula/,Hall 8,,info@abinsula.com,http://www.abinsula.com,"Abinsula offers tailor made systems design and solution by the development and integration services in the Automotive, Precision Farming, e-Health and Web & Mobile domains. Its services cover the whole development cycle from idea and concept creation to mass production. The main focus is “ABILITY”, a framework of services, technologies and products for development of smart and consumer electronic products. The company was established in 2012 in Italy and has 4 operative offices. Abinsula has a team of 120+ engineers fully devoted to bringing up innovation in close cooperation with partners all around the world."
27,abitari,https://www.mwcbarcelona.com/exhibitor/abitari/,Hall M8,,,http://www.abitari.com,"Abitari automates hotel operations to improve guest experience. Our products are focused on fast check-in process, staff operations and guest relationships. We provide a set of Apps fully integrated between them and also with your PMS. We are currently working with some of the main hotel chains in Spain."
28,accanto,https://www.mwcbarcelona.com/exhibitor/accanto/,Hall 2 Stand 2B82MR,,martine.naughton@accantosystems.com,http://www.accantosystems.com,"Headquartered in Finland and operating globally, Accanto provides a software platform called Stratoss™ which auto-generates the processes required to manage the complete lifecycle of a service, enabling operators to launch and maintain services in an economically sustainable manner. Automating complex scenarios such as heal, scale, and upgrade provides a dramatic reduction in operational cost and complexity which supports the business case for NFV. www.accantosystems.com"
29,accedian,https://www.mwcbarcelona.com/exhibitor/accedian/,Hall 6 Stand 6D60,,alou@accedian.com,http://www.accedian.com,"Accedian delivers exceptional end-to-end network and application performance visibility, for control over the best possible user experience."
30,accelleran,https://www.mwcbarcelona.com/exhibitor/accelleran/,Hall 7 Stand 7G71,,info@accelleran.com,http://www.accelleran.com,"Accelleran provides Mobile RAN/vRAN software and LTE Small Cell product solutions addressing the real-world challenges of increasing data volumes and 5G applications, calling for hyperdense networks. Accelleran’s unique software architecture is genuinely independent from any hardware platform. Operators can leverage one software solution for integrated small cells and for disaggregated and virtualised RAN networks with slicing and edge capabilities. With a global Cellular Industry's leading design team, Accelleran is the technology choice for carrier grade, reliable, performant Small Cells and Radio Access Network software solutions for Fixed Wireless Access, Public Mobile, Private Network, Neutral Host or IOT/Vertical solution providers."
31,accuver,https://www.mwcbarcelona.com/exhibitor/accuver/,Hall 5 Stand 5G16,,,,"Accuver is a leading provider of wireless test and measurement solutions that optimize the performance and reliability of mobile networks. Working with all major network operators, infrastructure vendor and chipset manufacturers, we measure, troubleshoot and optimize network performance and wireless service delivery."
32,acklio,https://www.mwcbarcelona.com/exhibitor/acklio/,Hall 5 Stand 5B41,,,,"ACKLIO provides software to speed up and secure the Internet of Things. The company is at the origin of a technology that allows the use of IP protocols over any IoT networks (eg. LoRaWAN, Sigfox, NB-IoT, LTE-M). Acklio’s suite empowers native interoperability, universal integration, and end-to-end security from the devices to the application. Building on more than 20 years of research and 13 doctoral thesis in network protocols, architecture and security, Acklio’s offers the worldwide first implementation of the new standard compression technology for 5G IoT."
33,acqustic,https://www.mwcbarcelona.com/exhibitor/acqustic/,Hall M8,,esteve.lombarte@acqustic.com,,"Acqustic is a mobile platform that allows musicians to apply to hundreds of concerts per month, interviews in radios, upload their music to Spotify and Apple Music and generate their own invoices. All musician's career tools in one platform"
34,acromove,https://www.mwcbarcelona.com/exhibitor/acromove/,Hall M8,,,,
35,actel,https://www.mwcbarcelona.com/exhibitor/actel/,Hall 8,,br@actelme.com,http://www.actelme.com,Access the Entire Middle East’s VAS Market from a Single Provider
36,actility,https://www.mwcbarcelona.com/exhibitor/actility/,Hall 8,,,http://www.actility.com,"Actility connects the industrial Internet of Things (IIoT). Our IoT connectivity platform, tools, and fast-growing ecosystem enable our customers to create IoT solutions that transform business, industries and processes. The ThingPark LPWA platform connects sensors gathering data to cloud applications on any scale, from global or national networks to secure on-campus enterprise solutions. Our value-added applications and business services enable roaming, device software update, geolocation and smart grid. Actility is at the heart of a thriving customer ecosystem, connecting solutions partners, supporting developers and device makers preparing their LPWA product for market, and providing an e-commerce Marketplace offering global distribution to solution providers. Actility co-founded the LoRa Alliance and continues to pioneer LPWA networking technology."
37,adcash,https://www.mwcbarcelona.com/exhibitor/adcash/,Hall 8,,,http://www.adcash.com,"Adcash is an online advertising platform for affiliates, media buyers, ad networks and publishers worldwide. The Adcash team has been rocking the ad tech industry since 2007.  "
38,adeya,https://www.mwcbarcelona.com/exhibitor/adeya/,Hall 8,,francois.rodriguez@adeya.ch,http://www.adeya.ch,"Adeya is a crypto-based secure collaboration and communication suite with integrated messaging, audio & video conferencing and file sharing. It is protecting your data with end-to-end encryption and complies with global and local regulations both within and across enterprises."
39,adipsys,https://www.mwcbarcelona.com/exhibitor/adipsys/,Hall M8,,sales@adipsys.com,,"Adipsys is a software editor of Wi-Fi cloud management solutions designed for Integrators and Operators, which applies to many areas such as Smart cities Retail , Events, Hospitality, Education and corporate applications."
40,adjust,https://www.mwcbarcelona.com/exhibitor/adjust/,Hall 8,,,http://www.adjust.com,"Adjust is the industry leader in mobile measurement and fraud prevention. The globally operating company provides high-quality analytics, measurement and fraud prevention solutions for mobile app marketers worldwide, enabling them to make smarter, faster marketing decisions. Adjust is a marketing partner with all major platforms, including Facebook, Google, Snap, Twitter, Line, and WeChat. In total, more than 25,000 apps have implemented Adjust's solutions to improve their performance."
41,adobe,https://www.mwcbarcelona.com/exhibitor/adobe/,Hall 4 Stand 4A5Ex,,ivo@24notion.tv,,"Adobe Creative Cloud gives you the world's best apps and services for video, design, photography, and the web. It's easy to get started with built-in tutorials and templates. Whether you're a beginner or a pro, you have everything you need to go from dreaming to doing, wherever you're inspired."
42,adpone,https://www.mwcbarcelona.com/exhibitor/adpone/,Hall 8,,mwc19@adpone.com,,"We are an ad-tech company, we bring publishers and advertisers closer together through and in-house technology that specializes in mobile and display. We operate worldwide, working with top partners. "
43,adsumnet,https://www.mwcbarcelona.com/exhibitor/adsumnet/,Hall M8,,info@adsumnet.com,http://www.adsumnet.com,"Featuring ""LivePark"" the industry least intrusive, cost-effective and high-precision Smart-Parking Sensor System."
44,adtran,https://www.mwcbarcelona.com/exhibitor/adtran/,Hall 1 Stand 1A60,,kurt.raaflaub@adtran.com,http://www.adtran.com,"At ADTRAN, Inc., we believe amazing things happen when people connect—and that next gen fibre broadband and millimeter wave help deliver the promise of a 5G world.  From the cloud edge to the subscriber edge, we help communications service providers around the world manage and scale services that connect people, places and things to advance human progress—at the speed of fibre optics. ADTRAN solutions optimize existing technology infrastructures and help create new, multi-gigabit mobile platforms that leverage cloud economics, data analytics, machine learning and open ecosystems—the future of global networking."
45,advantech,https://www.mwcbarcelona.com/exhibitor/advantech/,Hall 5 Stand 5L16MR,,,http://www.advantech.com/nc,"Advantech Networks & Communications Group provides the broadest range of communications platforms, scaling from 1-100s of cores, consolidating workloads to modernize next generation network infrastructure."
46,adveez,https://www.mwcbarcelona.com/exhibitor/adveez/,Hall 5 Stand 5B61,,,http://www.adveez.com,"ADVEEZ, created in late 2011 in Toulouse, is a company of 35 people including 3 sales people in the USA. The startup, whose purpose is the identification and securing of goods and people, adapted a technological component from the automotive field, the field of the Internet of Things, access control and e-health (Silver Economy : wander and fall) as well as the security of airport vehicules using a ‘SAAS’ business model."
47,adzuki,https://www.mwcbarcelona.com/exhibitor/adzuki/,Hall M8,,claus@adzukimobile.com,http://www.adzuki.co,The Social Media Wardrobe by Adzuki
48,aeinnova,https://www.mwcbarcelona.com/exhibitor/aeinnova/,Hall M8,,raul.aragones@aeinnova.com,http://www.aeinnova.com,"Large industries lose up to 60% of their energy consumption in the form of waste heat as a result of the transformation of primary materials. AEInnova technology is capable of converting this heat into electricity that can be used in two different ways: first, taking advantatge of the generated energy to reduce the global energy consumption and second, powering our wireless and batteryless sensorization systems that allow you to easily transform your traditional industry into an industry 4.0 without maintenance."
49,aervio,https://www.mwcbarcelona.com/exhibitor/aervio/,Hall Congress Square Stand CS20,,,,
50,aetolls,https://www.mwcbarcelona.com/exhibitor/aetolls/,Hall M8,,sglagow@aetolls.ney,,AETolls holds several patents in the U.S and 14 other countries for direct carrier billing (DCB) in the tolling and toll road payment processing categories.. Their first product tapnpay is being implemented in North America with their DCB payment provider Verizon. Additional carriers will be implemented in the next few months.
51,aexonis,https://www.mwcbarcelona.com/exhibitor/aexonis/,Hall 8,,frederick.reynolds@aexonis.com,http://www.aexonis.com,"AeXonis is the leader in IoT application enablement software and services.  The company’s unique virtualized mediation and management approach simplifies the deployment of IoT and enables any organization, or entrepreneur with an application and device to become their own IoT network operator.  AeXonis’ CemTore combines IoT Connectivity Management, Application Enablement, and Data Exchange functionalities into one powerful software suite that contains everything needed to deploy IoT.  AeXonis first market deployment is in Brazil, as the company launches an IoT Enablement SaaS that combines its CemTore IoT mediation and management with nationwide connectivity for LoRaWAN and CIoT in Brazil."
52,afterbanks,https://www.mwcbarcelona.com/exhibitor/afterbanks/,Hall M8,,david.lozano@afterbanks.com,,"We are a company in which we develop a new product through an API, faster and more secure than the current payment gateways, using the infrastructure of each bank, with its corresponding security to order a transfer from a customer's bank account to that of a trade instantly. This payment initiation product will therefore allow the development of alternative payment gateways to current ones, and will even allow instantaneous payments to be made throughout Europe with lower commissions. In addition, we would like to stand out that, our product, saves a very significant amount of money to our customers."
53,agc,https://www.mwcbarcelona.com/exhibitor/agc/,Hall 2 Stand 2D55MR,,bernard.monville@eu.agc.com,http://www.agc.com,"AGC’s business extends into four fields: glass, electronics, chemicals, and ceramics, into over 30 countries and regions with regional pillars in Japan/Asia, Europe and North & South America."
54,ageify,https://www.mwcbarcelona.com/exhibitor/ageify/,Hall 7 Stand 7G71,,kflokos@upcom.eu,http://www.age-ify.com,AGEify offers a reliable age verification mechanism that can be used to control access to online resources.
55,agrobit,https://www.mwcbarcelona.com/exhibitor/agrobit/,Hall 8,,sbalussi@bit.com.ar,http://www.agrobit.com,"Farm to fork – digital agribusiness solutions, we help to produce more with less, to reduce risks, to protect the environment, to monitoring and control field operation and certify secure food using technology."
56,agrocenta,https://www.mwcbarcelona.com/exhibitor/agrocenta/,Hall M8,,,,"AgroCenta is a digital food distribution and supply chain platform creating shared for businesses and smallholder farmers. AgroCenta connects smallholder farmers in the cereals and staple food value chain directly to a structured market to trade fairly and improve their financial livelihoods. AgroCenta's two key solutions AgroTrade (https://agromart.co) enables effective trade between small, medium, large organisations and smallholder farmers and AgroPay (https://agropay.co) enables financial inclusion for smallholder farmers including digital payments via mobile money, crop insurance, pension and micro loans."
57,airbus,https://www.mwcbarcelona.com/exhibitor/airbus/,Hall 6 Stand 6G34,,web@airbus.com,http://www.airbus.com,"Airbus is a global leader in aeronautics, space and related services. In 2017 it generated revenues of € 59 billion restated for IFRS 15 and employed a workforce of around 129,000. Airbus offers the most comprehensive range of passenger airliners from 100 to more than 600 seats. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world’s leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide."
58,aircall,https://www.mwcbarcelona.com/exhibitor/aircall/,Hall 5 Stand 5B41,,louise@aircall.io,,"Aircall is a fully cloud based business phone system that allows companies to set up their phones in just a few minutes and with lines in over 100 countries. Whether you want to create a call center for your sales and/or support teams or traditional phone lines for your business, Aircall allows you to set everything up in just a few clicks."
59,airg,https://www.mwcbarcelona.com/exhibitor/airg/,Hall 7 Stand 7J38,,,,
60,airly,https://www.mwcbarcelona.com/exhibitor/airly/,Hall 8,,j.madej@airly.eu,,"Airly builds networks of air quality sensors that can be deployed across entire cities or counties. The technology enables real-time monitoring, forecast, and interpolation of air quality via an online map or a mobile app."
61,airning,https://www.mwcbarcelona.com/exhibitor/airning/,Hall M8,,aboar@airning.com,,"When you travel you expect everything to be perfect, but flight delays and cancellations may seriously affect your plans."
62,airrays,https://www.mwcbarcelona.com/exhibitor/airrays/,Hall M8,,,http://www.airrays.com,"Airrays is the leading massive MIMO radio company addressing the 4G and upcoming 5G mobile network infrastructure market. Airrays’ large scale active antennas provide an energy-efficient and cost-effective way to address the growing demand for wireless capacity for the Gigabit Society. Founded in 2013, Airrays today employs 50 people from over 10 different countries and is located in Dresden, Germany."
63,alchimie,https://www.mwcbarcelona.com/exhibitor/alchimie/,Hall 5 Stand 5B41,,,http://www.alchimie.com,"Alchimie : content aggregator and distributor in the OTT video industry with 30+ worlwide partners (Mobile & Pay TV Operators, Connected TV& Device manufaturers, Digital platforms, etc)"
64,alda,https://www.mwcbarcelona.com/exhibitor/alda/,Hall M8,,,,
65,alertaphone,https://www.mwcbarcelona.com/exhibitor/alertaphone/,Hall Congress Square Stand CS20,,mwc@alertaphone.com,http://www.alertaphone.com,"AlertaPhone is a company that was founded in 2011 and which offers top-notch quality repair service of mobile phones, tablets and computers. All of our repair centres provide a fast-repair service covering all market brands and at all levels. We offer express repair services (average of 40 minutes) ensuring high quality results provided by our team of  skillfully trained experts. AlertaPhone is an innovative and highly technological business concept that is currently experiencing a highly successful expansion process through franchising and collaboration with other technological companies."
66,alisys,https://www.mwcbarcelona.com/exhibitor/alisys/,Hall Congress Square Stand CS30,,angel.barrio@alisys.net,http://www.alisys.net,"Alisys is a Spanish company that promotes digital transformation of organizations through the combination of technological solutions based on social robots, artificial intelligence, blockchain and telecommunications."
67,allblanc,https://www.mwcbarcelona.com/exhibitor/allblanc/,Hall M8,,all_blanc@naver.com,,"ALLBLANC is 'Fit-tech' company which has which has strong 'Media power'. Our social media channels such as Youtube, Facebook, Instagram are generating tremendous traffics. The traffics enable us to get customers for our product and service effectively."
68,allergeneat,https://www.mwcbarcelona.com/exhibitor/allergeneat/,Hall M8,,quim.sanchez@allergeneat.com,http://www.allergeneat.com,"Allergeneat is an app for allergic and food intolerance people who must care about what they eat. Our app can read labels at grocery shopping and give to the users just only the information that they need, but without reading that labels. We give more security to our users and let them save 80% of his time at grocery shopping. Our customers are brands that want to improve their sells strategy."
69,allot,https://www.mwcbarcelona.com/exhibitor/allot/,Hall 5 Stand 5G41,,,http://www.allot.com,"Allot is a leading provider of innovative network intelligence and security solutions that empower communications service providers and enterprises worldwide to enhance the value they bring to their customers. With over 20 years of proven success, our solutions turn network, application, usage and security data into actionable intelligence that make our customers’ networks smarter and their users more secure."
70,allthingstalk,https://www.mwcbarcelona.com/exhibitor/allthingstalk/,Hall 7 Stand 7G71,,stop@allthingstalk.com,,"AllThingsTalk markets a scalable IoT Product platform as-a-service which can be used as an agile, rapid prototyping environment, as well as for full service roll-out of connected products. It is called AllThingsTalk Cloud."
71,allview,https://www.mwcbarcelona.com/exhibitor/allview/,Hall 6 Stand 6G11,,,,"Allview is an international brand founded in 2002, headquartered in Romania, that mainly operates on the European mobile phone market. The brand also sells tablets, Android TVs, LED TVs, smart devices and accessories."
72,alocloud,https://www.mwcbarcelona.com/exhibitor/alocloud/,Hall 5 Stand 5D9,,shaden@alocloud.com,,"In 2015, a Jordanian social media influencer decided to"
73,altair,https://www.mwcbarcelona.com/exhibitor/altair/,Hall M8,,charline.hunt@altair.com,,"Altair transforms design and decision making by applying simulation, machine learning and optimization throughout product lifecycles. Our broad portfolio of simulation technology and patented units-based software licensing model enable Simulation-Driven Innovation™ for our customers. With more than 2,000 employees, Altair is headquartered in Troy, Michigan, USA and operates 82 offices throughout 25 countries. Altair serves more than 5,000 customers across broad industry segments. To learn more, please visit www.altair.com."
74,altran,https://www.mwcbarcelona.com/exhibitor/altran/,Hall 2 Stand 2D60,,sylvain.allard@altran.com,http://www.altran.com,"Altran ranks as the undisputed global leader in Engineering and R&D services (ER&D), following its acquisition of Aricent. The company offers clients an unmatched value proposition to address their transformation and innovation needs. Altran works alongside its clients, from initial concept through industrialisation, to invent the products and services of tomorrow. For over 30 years, the company has provided expertise in aerospace, automotive, defence, energy, finance, life sciences, railway and telecommunications. The Aricent acquisition extends this leadership to semiconductors, digital experience and design innovation. Combined, Altran and Aricent generated revenues of €2.9 billion in 2017, with some 45,000 employees in more than 30 countries."
75,amarisoft,https://www.mwcbarcelona.com/exhibitor/amarisoft/,Hall 5 Stand 5K13,,sales@amarisoft.com,http://www.amarisoft.com,"Amarisoft is a software company dedicated to 4G and 5G NR. Our world unique LTE and NR software suite runs on standard (COTS) hardware (including PHY layer). Amarisoft technology accelerates the process of building products like eNodeB, Core network, NB-IoT and vRAN based solutions. With more than 400 customers, Amarisoft addresses a wide range of customers from telecom equipment manufacturers, operators, telecom integrators, government agencies, universities and R&D labs. Amarisoft was the winner of Télécom Track by Orange and is a member of the TIP Ecosystem Accelerator Centers. Amarisoft provides high quality and affordable Callboxes for UE testing and UE Simboxes for infra testing. Amarisoft partners' ecosystem offers an alternative to LTE, NB-IoT and 5G NR network infrastructure."
76,ambeent,https://www.mwcbarcelona.com/exhibitor/ambeent/,Hall M8,,ergen@ambeent.ai,http://www.ambeent.ai,"Ambeent wants to organize world's Wi-Fi to bring happy Internet users and true revival of unlicensed spectrum with its novel user-centric & collaborative (Crowd-SON) technology. Even with vast number of installations, Wi-Fi connections are getting worse (interfering neighbors are increasing) due to their inherited unlicensed nature.We introduce a unique cloud-based, artificial intelligence powered platform  to bring order to the Wi-Fi networks.  Our product is the first of its kind in laying the groundwork in of performance, security and intelligence for future unlicensed 5G heterogeneous networks  and a must for offloading."
77,amdocs,https://www.mwcbarcelona.com/exhibitor/amdocs/,Hall 3 Stand 3G10,,,http://www.amdocs.com,"Amdocs is a leading software and services provider to communications and media companies of all sizes, accelerating the industry’s dynamic and continuous digital transformation. With a rich set of innovative solutions, long-term business relationships with 350 communications and media providers, and technology and distribution ties to 600 content creators, Amdocs delivers business improvements to drive growth. Amdocs and its 25,000 employees serve customers in over 85 countries. Listed on the NASDAQ Global Select Market, Amdocs had revenue of $4 billion in fiscal 2018. For more information, visit Amdocs at www.amdocs.com"
78,amplement,https://www.mwcbarcelona.com/exhibitor/amplement/,Hall 8,,,,
